paper_id,title,authors,year,journal,doi,url,local_pdf_path,bibtex_key,tags,reading_status,notes_path,added_date,last_reviewed_date,priority,project,source_type,relevance_score,reading_priority,included_in_lit_review,exclude_reason,user_comment
stress_finance_reading_synthetic_001,Synthetic finance reading Study 001: Finance Valuation under Local Review Conditions,"Fixture, Blair; Test, Morgan",2017,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.001,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_001,,stress_finance_readingSynthetic2017001,finance-valuation; finance-stress,skimmed,notes/stress_finance_reading_synthetic_001.md,2026-06-10,2026-06-10,medium,stress_finance_reading,conference_paper,0.5,medium,true,,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_002,Synthetic finance reading Study 002: Risk Modeling under Local Review Conditions,"Local, Casey; Test, Quinn",2018,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.001,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_002,,stress_finance_readingSynthetic2018002,risk-modeling; finance-stress,partially_read,notes/stress_finance_reading_synthetic_002.md,2026-06-10,2026-06-10,high,stress_finance_reading,report,1.0,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_003,Synthetic finance reading Study 003: Market Microstructure under Local Review Conditions,"Example, Devon; Test, Riley",2019,Synthetic Finance Reading Reports,10.bad,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_003,,stress_finance_readingSynthetic2019003,market-microstructure; finance-stress,read,notes/stress_finance_reading_synthetic_003.md,2026-06-10,2026-06-10,critical,stress_finance_reading,review,1.5,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_004,Synthetic finance reading Study 004: Disclosure Quality under Local Review Conditions,"Review, Emery; Test, Taylor",2020,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.004,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_004,,stress_finance_readingSynthetic2017001,disclosure-quality; finance-stress,deeply_read,notes/stress_finance_reading_synthetic_004.md,2026-06-10,2026-06-10,low,stress_finance_reading,preprint,2.0,low,true,,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_005,Synthetic finance reading Study 005: Portfolio Construction under Local Review Conditions,"Workbench, Finley; Test, Skyler",2021,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.005,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_005,,,portfolio-construction; finance-stress,archived,notes/stress_finance_reading_synthetic_005.md,2026-06-10,2026-06-10,medium,stress_finance_reading,journal_article,2.5,medium,true,,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_006,Synthetic finance reading Study 006: Finance Valuation under Local Review Conditions,"Synthetic, Gray; Test, Jordan",2022,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.006,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_006,,stress_finance_readingSynthetic2022006,finance-valuation; finance-stress; market-microstructure,unread,notes/stress_finance_reading_synthetic_006.md,2026-06-10,2026-06-10,high,stress_finance_reading,conference_paper,3.0,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_007,Synthetic finance reading Study 007: Risk Modeling under Local Review Conditions,"Fixture, Harper; Test, Morgan",2023,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.007,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_007,,stress_finance_readingSynthetic2023007,risk-modeling; finance-stress,skimmed,notes/stress_finance_reading_synthetic_007.md,2026-06-10,2026-06-10,critical,stress_finance_reading,report,3.5,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_008,Synthetic finance reading Study 008: Market Microstructure under Local Review Conditions,"Local, Avery; Test, Quinn",2024,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.008,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_008,,stress_finance_readingSynthetic2024008,market-microstructure; finance-stress,partially_read,,2026-06-10,,low,stress_finance_reading,review,4.0,low,true,,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_009,Synthetic finance reading Study 009: Disclosure Quality under Local Review Conditions,"Example, Blair; Test, Riley",2016,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.009,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_009,,stress_finance_readingSynthetic2016009,disclosure-quality; finance-stress,read,notes/stress_finance_reading_synthetic_009.md,2026-06-10,2026-06-10,medium,stress_finance_reading,preprint,4.5,medium,true,,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_010,Synthetic finance reading Study 010: Portfolio Construction under Local Review Conditions,"Review, Casey; Test, Taylor",2017,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.010,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_010,,stress_finance_readingSynthetic2017010,portfolio-construction; finance-stress,deeply_read,notes/stress_finance_reading_synthetic_010.md,2026-06-10,2026-06-10,high,stress_finance_reading,journal_article,5.0,high,false,,Synthetic stress fixture; not real literature.
stress_finance_reading_synthetic_011,Synthetic finance reading Study 011: Finance Valuation under Local Review Conditions,"Workbench, Devon; Test, Skyler",2018,Synthetic Finance Reading Reports,10.9300/synthetic.stress_finance_reading.011,https://example.local/stress_finance_reading/stress_finance_reading_synthetic_011,,stress_finance_readingSynthetic2018011,finance-valuation; finance-stress,archived,notes/stress_finance_reading_synthetic_011.md,2026-06-10,2026-06-10,critical,stress_finance_reading,conference_paper,0.0,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
