claim_id,paper_id,claim_text,evidence_type,section,page,confidence,tags,quote_or_paraphrase,user_comment,supports_theme,strength,note_file
orphan_synthetic_note:c1,orphan_synthetic_note,This orphan synthetic note intentionally has no matching registry entry.,unclear,,,low,orphan,Synthetic paraphrase only.,Expected workspace-health warning.,undefined orphan theme,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/orphan_synthetic_note.md
stress_zis_photocatalysis_synthetic_001:c1,stress_zis_photocatalysis_synthetic_001,Synthetic claim 1 for stress_zis_photocatalysis_synthetic_001 records user-tracked evidence about charge separation.,review_statement,Section 2 p. 3,3,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_001.md
stress_zis_photocatalysis_synthetic_001:c2,stress_zis_photocatalysis_synthetic_001,Synthetic claim 41 for stress_zis_photocatalysis_synthetic_001 records user-tracked evidence about charge separation.,review_statement,Section 6 p. 43,43,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_001.md
stress_zis_photocatalysis_synthetic_001:c3,stress_zis_photocatalysis_synthetic_001,Synthetic claim 81 for stress_zis_photocatalysis_synthetic_001 records user-tracked evidence about charge separation.,review_statement,,,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_001.md
stress_zis_photocatalysis_synthetic_002:c1,stress_zis_photocatalysis_synthetic_002,Synthetic claim 2 for stress_zis_photocatalysis_synthetic_002 records user-tracked evidence about photocorrosion.,theory_or_mechanism,Section 3 p. 4,4,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_002.md
stress_zis_photocatalysis_synthetic_002:c2,stress_zis_photocatalysis_synthetic_002,Synthetic claim 42 for stress_zis_photocatalysis_synthetic_002 records user-tracked evidence about photocorrosion.,experimental_result,Section 1 p. 44,44,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_002.md
stress_zis_photocatalysis_synthetic_002:c3,stress_zis_photocatalysis_synthetic_002,Synthetic claim 82 for stress_zis_photocatalysis_synthetic_002 records user-tracked evidence about photocorrosion.,background_context,Section 5 p. 84,84,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_002.md
stress_zis_photocatalysis_synthetic_003:c1,stress_zis_photocatalysis_synthetic_003,Synthetic claim 3 for stress_zis_photocatalysis_synthetic_003 records user-tracked evidence about thin-film fabrication.,limitation,Section 4 p. 5,5,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_003.md
stress_zis_photocatalysis_synthetic_003:c2,stress_zis_photocatalysis_synthetic_003,Synthetic claim 43 for stress_zis_photocatalysis_synthetic_003 records user-tracked evidence about thin-film fabrication.,method_description,Section 2 p. 45,45,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_003.md
stress_zis_photocatalysis_synthetic_003:c3,stress_zis_photocatalysis_synthetic_003,Synthetic claim 83 for stress_zis_photocatalysis_synthetic_003 records user-tracked evidence about thin-film fabrication.,opinion_or_interpretation,Section 6 p. 85,85,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_003.md
stress_zis_photocatalysis_synthetic_004:c1,stress_zis_photocatalysis_synthetic_004,Synthetic claim 4 for stress_zis_photocatalysis_synthetic_004 records user-tracked evidence about catalyst stability.,background_context,Section 5 p. 6,6,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_004.md
stress_zis_photocatalysis_synthetic_004:c2,stress_zis_photocatalysis_synthetic_004,Synthetic claim 44 for stress_zis_photocatalysis_synthetic_004 records user-tracked evidence about catalyst stability.,theory_or_mechanism,Section 3 p. 46,46,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_004.md
