paper_id,title,authors,year,journal,doi,url,local_pdf_path,bibtex_key,tags,reading_status,notes_path,added_date,last_reviewed_date,priority,project,source_type,relevance_score,reading_priority,included_in_lit_review,exclude_reason,user_comment
sigl_2024_znin_2_s,ZnIn 2 S 4 thin films with hierarchical porosity for photocatalysis,"Sigl, Marco; Egger, Melissa; Warchomicka, Fernando; Knez, Daniel; Dienstleder, Martina; Amenitsch, Heinz; Trimmel, Gregor; Rath, Thomas",2024,Journal of Materials Chemistry A,,,,sigl2024znin,imported-bibtex; starter-15; demo-triage; ZnIn2S4; thin-films; porosity; photocatalysis,unread,notes/sigl_2024_znin_2_s.md,2026-06-15,,high,fyp_zis_lit_review,journal_article,,critical,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
campbell_1900_preparation_potassium_xanthate,On the Preparation of Potassium Xanthate for Nickel Determinations.,"Campbell, ED",1900,Journal of the American Chemical Society,,,,campbell1900preparation,imported-bibtex; starter-15; demo-triage; xanthate-background; historical-context,unread,notes/campbell_1900_preparation_potassium_xanthate.md,2026-06-15,,low,fyp_zis_lit_review,journal_article,,low,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
rath_2011_direct_route_towards,A direct route towards polymer/copper indium sulfide nanocomposite solar cells,"Rath, Thomas; Edler, Michael; Fischereder, Achim; Moscher, Stefan; Schenk, Alexander; Pein, Andreas; Meischler, Dorith; Bartl, Karin; Saf, Robert; Trimmel, Gregor; others",2011,Advanced Energy Materials,,,,rath2011direct,imported-bibtex; starter-15; demo-triage; thin-films; nanocomposites; adjacent-solar-cells,unread,notes/rath_2011_direct_route_towards.md,2026-06-15,,medium,fyp_zis_lit_review,journal_article,,medium,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
vakalopoulou_2022_metal_sulfide_thin,Metal sulfide thin films with tunable nanoporosity for photocatalytic applications,"Vakalopoulou, Efthymia; Rath, Thomas; Kra{\""u}ter, Marianne; Torvisco, Ana; Fischer, Roland C; Kunert, Birgit; Resel, Roland; Schr{\""o}ttner, Hartmuth; Coclite, Anna Maria; Amenitsch, Heinz; others",2022,ACS Applied Nano Materials,,,,vakalopoulou2022metal,imported-bibtex; starter-15; demo-triage; metal-sulfides; thin-films; nanoporosity; photocatalysis,unread,notes/vakalopoulou_2022_metal_sulfide_thin.md,2026-06-15,,high,fyp_zis_lit_review,journal_article,,critical,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
pradhan_2003_synthesis_high_quality,Synthesis of high-quality metal sulfide nanoparticles from alkyl xanthate single precursors in alkylamine solvents,"Pradhan, Narayan; Katz, Beni; Efrima, Shlomo",2003,The Journal of Physical Chemistry B,,,,pradhan2003synthesis,imported-bibtex; starter-15; demo-triage; xanthate-precursors; nanoparticles; metal-sulfides,unread,notes/pradhan_2003_synthesis_high_quality.md,2026-06-15,,medium,fyp_zis_lit_review,journal_article,,medium,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
fischereder_2013_solution_processed_copper,Solution-processed copper zinc tin sulfide thin films from metal xanthate precursors,"Fischereder, Achim; Schenk, Alexander; Rath, Thomas; Haas, Wernfried; Delbos, S{\'e}bastien; Gougaud, Corentin; Naghavi, Negar; Pateter, Angelika; Saf, Robert; Schenk, Dorith; others",2013,"Monatshefte f{\""u}r Chemie-Chemical Monthly",,,,fischereder2013solution,imported-bibtex; starter-15; demo-triage; xanthate-precursors; thin-films; solution-processing,unread,notes/fischereder_2013_solution_processed_copper.md,2026-06-15,,medium,fyp_zis_lit_review,journal_article,,medium,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
vakalopoulou_2020_synthesis_characterization_zinc,"Synthesis and characterization of zinc di (O-2, 2-dimethylpentan-3-yl dithiocarbonates) bearing pyridine or tetramethylethylenediamine coligands and investigation of their thermal conversion mechanisms towards nanocrystalline zinc sulfide","Vakalopoulou, Efthymia; Buchmaier, Christine; Pein, Andreas; Saf, Robert; Fischer, Roland C; Torvisco, Ana; Warchomicka, Fernando; Rath, Thomas; Trimmel, Gregor",2020,Dalton Transactions,,,,vakalopoulou2020synthesis,imported-bibtex; starter-15; demo-triage; zinc-sulfide; precursor-chemistry; thermal-conversion,unread,notes/vakalopoulou_2020_synthesis_characterization_zinc.md,2026-06-15,,medium,fyp_zis_lit_review,journal_article,,medium,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
macreadie_2015_soluble_xanthate_compounds,Soluble xanthate compounds for the solution deposition of metal sulfide thin films,"Macreadie, Lauren K; Maynard-Casely, Helen E; Batten, Stuart R; Turner, David R; Chesman, Anthony SR",2015,ChemPlusChem,,,,macreadie2015soluble,imported-bibtex; starter-15; demo-triage; xanthate-precursors; solution-deposition; metal-sulfides,unread,notes/macreadie_2015_soluble_xanthate_compounds.md,2026-06-15,,medium,fyp_zis_lit_review,journal_article,,medium,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
chesman_2014_solution_processed_cds,Solution-processed CdS thin films from a single-source precursor,"Chesman, Anthony SR; Duffy, Noel W; Martucci, Alessandro; Tozi, Leonardo De Oliveira; Singh, Th Birendra; Jasieniak, Jacek J",2014,Journal of Materials Chemistry C,,,,chesman2014solution,imported-bibtex; starter-15; demo-triage; single-source-precursors; thin-films; metal-sulfides,unread,notes/chesman_2014_solution_processed_cds.md,2026-06-15,,medium,fyp_zis_lit_review,journal_article,,medium,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
lewis_2015_situ_synthesis_pbs,In situ synthesis of PbS nanocrystals in polymer thin films from lead (II) xanthate and dithiocarbamate complexes: evidence for size and morphology control,"Lewis, Edward A; McNaughter, Paul D; Yin, Zhongjie; Chen, Yiqiang; Brent, Jack R; Saah, Selina A; Raftery, James; Awudza, Johannes AM; Malik, M Azad; O{'}Brien, Paul; others",2015,Chemistry of Materials,,,,lewis2015situ,imported-bibtex; starter-15; demo-triage; xanthate-precursors; polymer-thin-films; morphology,unread,notes/lewis_2015_situ_synthesis_pbs.md,2026-06-15,,medium,fyp_zis_lit_review,journal_article,,medium,,,Demo triage tags and priorities are title/key-derived starter labels; verify manually before citing.
