paper_id,title,authors,year,journal,doi,url,local_pdf_path,bibtex_key,tags,reading_status,notes_path,added_date,last_reviewed_date,priority,project,source_type,relevance_score,reading_priority,included_in_lit_review,exclude_reason,user_comment
stress_ml_methods_synthetic_001,Synthetic ML methods Study 001: Ml Methodology under Local Review Conditions,"Fixture, Blair; Test, Morgan",2017,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.001,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_001,,stress_ml_methodsSynthetic2017001,ml-methodology; ml-stress,skimmed,notes/stress_ml_methods_synthetic_001.md,2026-06-10,2026-06-10,medium,stress_ml_methods,conference_paper,0.5,medium,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_002,Synthetic ML methods Study 002: Robustness under Local Review Conditions,"Local, Casey; Test, Quinn",2018,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.001,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_002,,stress_ml_methodsSynthetic2018002,robustness; ml-stress,partially_read,notes/stress_ml_methods_synthetic_002.md,2026-06-10,2026-06-10,high,stress_ml_methods,report,1.0,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_003,Synthetic ML methods Study 003: Benchmark Leakage under Local Review Conditions,"Example, Devon; Test, Riley",2019,Synthetic Ml Methods Reports,10.bad,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_003,,stress_ml_methodsSynthetic2019003,benchmark-leakage; ml-stress,read,notes/stress_ml_methods_synthetic_003.md,2026-06-10,2026-06-10,critical,stress_ml_methods,review,1.5,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_004,Synthetic ML methods Study 004: Dataset Shift under Local Review Conditions,"Review, Emery; Test, Taylor",2020,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.004,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_004,,stress_ml_methodsSynthetic2017001,dataset-shift; ml-stress,deeply_read,notes/stress_ml_methods_synthetic_004.md,2026-06-10,2026-06-10,low,stress_ml_methods,preprint,2.0,low,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_005,Synthetic ML methods Study 005: Interpretability under Local Review Conditions,"Workbench, Finley; Test, Skyler",2021,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.005,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_005,,,interpretability; ml-stress,archived,notes/stress_ml_methods_synthetic_005.md,2026-06-10,2026-06-10,medium,stress_ml_methods,journal_article,2.5,medium,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_006,Synthetic ML methods Study 006: Ml Methodology under Local Review Conditions,"Synthetic, Gray; Test, Jordan",2022,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.006,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_006,,stress_ml_methodsSynthetic2022006,ml-methodology; ml-stress; benchmark-leakage,unread,notes/stress_ml_methods_synthetic_006.md,2026-06-10,2026-06-10,high,stress_ml_methods,conference_paper,3.0,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_007,Synthetic ML methods Study 007: Robustness under Local Review Conditions,"Fixture, Harper; Test, Morgan",2023,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.007,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_007,,stress_ml_methodsSynthetic2023007,robustness; ml-stress,skimmed,notes/stress_ml_methods_synthetic_007.md,2026-06-10,2026-06-10,critical,stress_ml_methods,report,3.5,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_008,Synthetic ML methods Study 008: Benchmark Leakage under Local Review Conditions,"Local, Avery; Test, Quinn",2024,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.008,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_008,,stress_ml_methodsSynthetic2024008,benchmark-leakage; ml-stress,partially_read,,2026-06-10,,low,stress_ml_methods,review,4.0,low,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_009,Synthetic ML methods Study 009: Dataset Shift under Local Review Conditions,"Example, Blair; Test, Riley",2016,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.009,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_009,,stress_ml_methodsSynthetic2016009,dataset-shift; ml-stress,read,notes/stress_ml_methods_synthetic_009.md,2026-06-10,2026-06-10,medium,stress_ml_methods,preprint,4.5,medium,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_010,Synthetic ML methods Study 010: Interpretability under Local Review Conditions,"Review, Casey; Test, Taylor",2017,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.010,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_010,,stress_ml_methodsSynthetic2017010,interpretability; ml-stress,deeply_read,notes/stress_ml_methods_synthetic_010.md,2026-06-10,2026-06-10,high,stress_ml_methods,journal_article,5.0,high,false,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_011,Synthetic ML methods Study 011: Ml Methodology under Local Review Conditions,"Workbench, Devon; Test, Skyler",2018,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.011,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_011,,stress_ml_methodsSynthetic2018011,ml-methodology; ml-stress,archived,notes/stress_ml_methods_synthetic_011.md,2026-06-10,2026-06-10,critical,stress_ml_methods,conference_paper,0.0,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_012,Synthetic ML methods Study 012: Robustness under Local Review Conditions,"Synthetic, Emery; Test, Jordan",2019,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.012,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_012,,stress_ml_methodsSynthetic2019012,robustness; ml-stress; dataset-shift,unread,notes/stress_ml_methods_synthetic_012.md,2026-06-10,2026-06-10,low,stress_ml_methods,report,0.5,low,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_013,Synthetic ML methods Study 013: Benchmark Leakage under Local Review Conditions,"Fixture, Finley; Test, Morgan",2020,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.013,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_013,,stress_ml_methodsSynthetic2020013,benchmark-leakage; ml-stress,skimmed,notes/stress_ml_methods_synthetic_013.md,2026-06-10,2026-06-10,medium,stress_ml_methods,review,1.0,medium,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_014,Synthetic ML methods Study 014: Dataset Shift under Local Review Conditions,"Local, Gray; Test, Quinn",2021,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.014,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_014,,stress_ml_methodsSynthetic2021014,dataset-shift; ml-stress,partially_read,notes/stress_ml_methods_synthetic_014.md,2026-06-10,2026-06-10,high,stress_ml_methods,preprint,1.5,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_015,Synthetic ML methods Study 015: Interpretability under Local Review Conditions,"Example, Harper; Test, Riley",2022,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.015,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_015,,stress_ml_methodsSynthetic2022015,interpretability; ml-stress,read,notes/stress_ml_methods_synthetic_015.md,2026-06-10,2026-06-10,critical,stress_ml_methods,journal_article,2.0,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_016,Synthetic ML methods Study 016: Ml Methodology under Local Review Conditions,"Review, Avery; Test, Taylor",2023,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.016,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_016,,stress_ml_methodsSynthetic2023016,ml-methodology; ml-stress,deeply_read,,2026-06-10,,low,stress_ml_methods,conference_paper,2.5,low,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_017,Synthetic ML methods Study 017: Robustness under Local Review Conditions,"Workbench, Blair; Test, Skyler",2024,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.017,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_017,,stress_ml_methodsSynthetic2024017,robustness; ml-stress,archived,notes/stress_ml_methods_synthetic_017.md,2026-06-10,2026-06-10,medium,stress_ml_methods,report,3.0,medium,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_018,Synthetic ML methods Study 018: Benchmark Leakage under Local Review Conditions,"Synthetic, Casey; Test, Jordan",2016,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.018,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_018,,stress_ml_methodsSynthetic2016018,benchmark-leakage; ml-stress; interpretability,unread,notes/stress_ml_methods_synthetic_018.md,2026-06-10,2026-06-10,high,stress_ml_methods,review,3.5,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_019,Synthetic ML methods Study 019: Dataset Shift under Local Review Conditions,"Fixture, Devon; Test, Morgan",2017,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.019,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_019,,stress_ml_methodsSynthetic2017019,dataset-shift; ml-stress,skimmed,notes/stress_ml_methods_synthetic_019.md,2026-06-10,2026-06-10,critical,stress_ml_methods,preprint,4.0,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_020,Synthetic ML methods Study 020: Interpretability under Local Review Conditions,"Local, Emery; Test, Quinn",2018,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.020,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_020,,stress_ml_methodsSynthetic2018020,interpretability; ml-stress,partially_read,notes/stress_ml_methods_synthetic_020.md,2026-06-10,2026-06-10,low,stress_ml_methods,journal_article,4.5,low,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_021,Synthetic ML methods Study 021: Ml Methodology under Local Review Conditions,"Example, Finley; Test, Riley",2019,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.021,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_021,data/papers/missing_synthetic_fixture.pdf,stress_ml_methodsSynthetic2019021,ml-methodology; ml-stress,read,notes/stress_ml_methods_synthetic_021.md,2026-06-10,2026-06-10,medium,stress_ml_methods,conference_paper,5.0,medium,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_022,Synthetic ML methods Study 022: Robustness under Local Review Conditions,"Review, Gray; Test, Taylor",2020,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.022,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_022,,stress_ml_methodsSynthetic2020022,robustness; ml-stress,deeply_read,notes/stress_ml_methods_synthetic_022.md,2026-06-10,2026-06-10,high,stress_ml_methods,report,0.0,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_023,Synthetic ML methods Study 023: Benchmark Leakage under Local Review Conditions,"Workbench, Harper; Test, Skyler",2021,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.023,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_023,,stress_ml_methodsSynthetic2021023,benchmark-leakage; ml-stress,archived,notes/stress_ml_methods_synthetic_023.md,2026-06-10,2026-06-10,critical,stress_ml_methods,review,0.5,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_024,Synthetic ML methods Study 024: Dataset Shift under Local Review Conditions,"Synthetic, Avery; Test, Jordan",2022,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.024,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_024,,stress_ml_methodsSynthetic2022024,dataset-shift; ml-stress; ml-methodology,read,,2026-06-10,,low,stress_ml_methods,preprint,1.0,low,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_025,Synthetic ML methods Study 025: Interpretability under Local Review Conditions,"Fixture, Blair; Test, Morgan",2023,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.025,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_025,,stress_ml_methodsSynthetic2023025,interpretability; ml-stress,skimmed,notes/stress_ml_methods_synthetic_025.md,2026-06-10,2026-06-10,medium,stress_ml_methods,journal_article,1.5,medium,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_026,Synthetic ML methods Study 026: Ml Methodology under Local Review Conditions,"Local, Casey; Test, Quinn",2024,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.026,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_026,,stress_ml_methodsSynthetic2024026,ml-methodology; ml-stress,partially_read,notes/stress_ml_methods_synthetic_026.md,2026-06-10,2026-06-10,high,stress_ml_methods,conference_paper,2.0,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_027,Synthetic ML methods Study 027: Robustness under Local Review Conditions,"Example, Devon; Test, Riley",2016,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.027,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_027,,stress_ml_methodsSynthetic2016027,robustness; ml-stress,read,notes/stress_ml_methods_synthetic_027.md,2026-06-10,2026-06-10,critical,stress_ml_methods,report,2.5,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_028,Synthetic ML methods Study 028: Benchmark Leakage under Local Review Conditions,"Review, Emery; Test, Taylor",2017,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.028,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_028,,stress_ml_methodsSynthetic2017028,benchmark-leakage; ml-stress,deeply_read,notes/stress_ml_methods_synthetic_028.md,2026-06-10,2026-06-10,low,stress_ml_methods,review,3.0,low,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_029,Synthetic ML methods Study 029: Dataset Shift under Local Review Conditions,"Workbench, Finley; Test, Skyler",2018,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.029,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_029,,stress_ml_methodsSynthetic2018029,dataset-shift; ml-stress,archived,notes/stress_ml_methods_synthetic_029.md,2026-06-10,2026-06-10,medium,stress_ml_methods,preprint,3.5,medium,true,,Synthetic stress fixture; not real literature.
stress_ml_methods_synthetic_030,Synthetic ML methods Study 001: Ml Methodology under Local Review Conditions,"Synthetic, Gray; Test, Jordan",2019,Synthetic Ml Methods Reports,10.9300/synthetic.stress_ml_methods.030,https://example.local/stress_ml_methods/stress_ml_methods_synthetic_030,,stress_ml_methodsSynthetic2019030,interpretability; ml-stress; robustness,unread,notes/stress_ml_methods_synthetic_030.md,2026-06-10,2026-06-10,high,stress_ml_methods,journal_article,4.0,high,false,,Synthetic stress fixture; not real literature.
