paper_id,title,authors,year,journal,doi,url,local_pdf_path,bibtex_key,tags,reading_status,notes_path,added_date,last_reviewed_date,priority,project,source_type,relevance_score,reading_priority,included_in_lit_review,exclude_reason,user_comment
stress_zis_photocatalysis_synthetic_001,Synthetic ZIS photocatalysis Study 001: Charge Separation under Local Review Conditions,"Fixture, Blair; Test, Morgan",2017,Synthetic Zis Photocatalysis Reports,10.9300/synthetic.stress_zis_photocatalysis.001,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_001,,stress_zis_photocatalysisSynthetic2017001,charge-separation; zis-stress,skimmed,notes/stress_zis_photocatalysis_synthetic_001.md,2026-06-10,2026-06-10,medium,stress_zis_photocatalysis,conference_paper,0.5,medium,true,,Synthetic stress fixture; not real literature.
stress_zis_photocatalysis_synthetic_002,Synthetic ZIS photocatalysis Study 002: Photocorrosion under Local Review Conditions,"Local, Casey; Test, Quinn",2018,Synthetic Zis Photocatalysis Reports,10.9300/synthetic.stress_zis_photocatalysis.001,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_002,,stress_zis_photocatalysisSynthetic2018002,photocorrosion; zis-stress,partially_read,notes/stress_zis_photocatalysis_synthetic_002.md,2026-06-10,2026-06-10,high,stress_zis_photocatalysis,report,1.0,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_zis_photocatalysis_synthetic_003,Synthetic ZIS photocatalysis Study 003: Thin-Film Fabrication under Local Review Conditions,"Example, Devon; Test, Riley",2019,Synthetic Zis Photocatalysis Reports,10.bad,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_003,,stress_zis_photocatalysisSynthetic2019003,thin-film-fabrication; zis-stress,read,notes/stress_zis_photocatalysis_synthetic_003.md,2026-06-10,2026-06-10,critical,stress_zis_photocatalysis,review,1.5,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_zis_photocatalysis_synthetic_004,Synthetic ZIS photocatalysis Study 004: Catalyst Stability under Local Review Conditions,"Review, Emery; Test, Taylor",2020,Synthetic Zis Photocatalysis Reports,10.9300/synthetic.stress_zis_photocatalysis.004,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_004,,stress_zis_photocatalysisSynthetic2017001,catalyst-stability; zis-stress,deeply_read,notes/stress_zis_photocatalysis_synthetic_004.md,2026-06-10,2026-06-10,low,stress_zis_photocatalysis,preprint,2.0,low,true,,Synthetic stress fixture; not real literature.
stress_zis_photocatalysis_synthetic_005,Synthetic ZIS photocatalysis Study 005: Band Alignment under Local Review Conditions,"Workbench, Finley; Test, Skyler",2021,Synthetic Zis Photocatalysis Reports,10.9300/synthetic.stress_zis_photocatalysis.005,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_005,,,band-alignment; zis-stress,archived,notes/stress_zis_photocatalysis_synthetic_005.md,2026-06-10,2026-06-10,medium,stress_zis_photocatalysis,journal_article,2.5,medium,true,,Synthetic stress fixture; not real literature.
stress_zis_photocatalysis_synthetic_006,Synthetic ZIS photocatalysis Study 006: Charge Separation under Local Review Conditions,"Synthetic, Gray; Test, Jordan",2022,Synthetic Zis Photocatalysis Reports,10.9300/synthetic.stress_zis_photocatalysis.006,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_006,,stress_zis_photocatalysisSynthetic2022006,charge-separation; zis-stress; thin-film-fabrication,unread,notes/stress_zis_photocatalysis_synthetic_006.md,2026-06-10,2026-06-10,high,stress_zis_photocatalysis,conference_paper,3.0,high,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_zis_photocatalysis_synthetic_007,Synthetic ZIS photocatalysis Study 007: Photocorrosion under Local Review Conditions,"Fixture, Harper; Test, Morgan",2023,Synthetic Zis Photocatalysis Reports,10.9300/synthetic.stress_zis_photocatalysis.007,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_007,,stress_zis_photocatalysisSynthetic2023007,photocorrosion; zis-stress,skimmed,notes/stress_zis_photocatalysis_synthetic_007.md,2026-06-10,2026-06-10,critical,stress_zis_photocatalysis,report,3.5,critical,false,Synthetic exclusion for scope control.,Synthetic stress fixture; not real literature.
stress_zis_photocatalysis_synthetic_008,Synthetic ZIS photocatalysis Study 008: Thin-Film Fabrication under Local Review Conditions,"Local, Avery; Test, Quinn",2024,Synthetic Zis Photocatalysis Reports,10.9300/synthetic.stress_zis_photocatalysis.008,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_008,,stress_zis_photocatalysisSynthetic2024008,thin-film-fabrication; zis-stress,partially_read,,2026-06-10,,low,stress_zis_photocatalysis,review,4.0,low,true,,Synthetic stress fixture; not real literature.
stress_zis_photocatalysis_synthetic_009,Synthetic ZIS photocatalysis Study 009: Catalyst Stability under Local Review Conditions,"Example, Blair; Test, Riley",2016,Synthetic Zis Photocatalysis Reports,10.9300/synthetic.stress_zis_photocatalysis.009,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_009,,stress_zis_photocatalysisSynthetic2016009,catalyst-stability; zis-stress,read,notes/stress_zis_photocatalysis_synthetic_009.md,2026-06-10,2026-06-10,medium,stress_zis_photocatalysis,preprint,4.5,medium,true,,Synthetic stress fixture; not real literature.
stress_zis_photocatalysis_synthetic_010,Synthetic ZIS photocatalysis Study 010: Band Alignment under Local Review Conditions,"Review, Casey; Test, Taylor",2017,Synthetic Zis Photocatalysis Reports,10.9300/synthetic.stress_zis_photocatalysis.010,https://example.local/stress_zis_photocatalysis/stress_zis_photocatalysis_synthetic_010,,stress_zis_photocatalysisSynthetic2017010,band-alignment; zis-stress,deeply_read,notes/stress_zis_photocatalysis_synthetic_010.md,2026-06-10,2026-06-10,high,stress_zis_photocatalysis,journal_article,5.0,high,false,,Synthetic stress fixture; not real literature.
